id,label,text,url,email,phone,source,intent_type,malicious,threat_level,linked_to,rewritten_text
s00005,spam,Hot singles near you are waiting! Check out now: flirtyzone.com,flirtyzone.com,no,no,government,account takeover,no,low,no,Y0u'v3 w0n @ $1000 g1ft c@rd! Cl@1m h3r3: pr1z3-n0w.c0m
s00004,spam,Get rich quick with our new crypto scheme! Visit crypto-gainz.com,crypto-gainz.com,no,-2358,government,support,no,medium,no,Y0u'v3 w0n @ $1000 g1ft c@rd! Cl@1m h3r3: pr1z3-n0w.c0m
h00011,ham,The report is due by Friday. Please ensure all updates are done.,,no,no,delivery,reminder,no,none,no,
h00017,ham,The report is due by Friday. Please ensure all updates are done.,,no,no,delivery,notification,no,none,no,
h00015,ham,"Hey, can you pick up some milk on your way home?",,user15@example.com,no,utility,account takeover,no,none,no,
h00002,ham,"Hey, can you pick up some milk on your way home?",,no,no,social,reminder,no,none,no,
s00037,spam,Buy followers and likes at cheap rates! Click here: socialboost-now.net,,no,no,delivery,support,no,medium,no,Unusu@l @ct1v1ty 1n y0ur P@yP@l pr0f1l3. S1gn 1n 1mm3d1@t3ly @t s3cur3-p@yp@l-ch3ck.c0m
h00031,ham,The report is due by Friday. Please ensure all updates are done.,,no,no,subscription,support,no,none,no,
s00034,spam,Hot singles near you are waiting! Check out now: flirtyzone.com,flirtyzone.com,no,no,utility,phishing,no,medium,no,Unusu@l @ct1v1ty 1n y0ur P@yP@l pr0f1l3. S1gn 1n 1mm3d1@t3ly @t s3cur3-p@yp@l-ch3ck.c0m
h00025,ham,Lunch at the usual place today?,,no,no,bank,support,no,none,no,
s00024,spam,Buy followers and likes at cheap rates! Click here: socialboost-now.net,,no,-2378,retail,support,no,low,no,Y0ur t@x 0ff1c3 pr0f1l3 @cc3ss 1s l1m1t3d. V1s1t t@x 0ff1c3-v3r1f1c@t10n-n0w.c0m
h00030,ham,The report is due by Friday. Please ensure all updates are done.,,user30@example.com,no,social,reminder,no,none,no,
s00036,smishing,Unusual activity in your PayPal account. Login immediately at secure-paypal-check.com,secure-paypal-check.com,no,-2390,retail,reminder,yes,low,malware,Unusu@l @ct1v1ty 1n y0ur P@yP@l pr0f1l3. S1gn 1n 1mm3d1@t3ly @t s3cur3-p@yp@l-ch3ck.c0m
h00035,ham,Don't forget our meeting at 3 PM.,,no,no,social,promotion,no,none,no,
s00033,smishing,Your account has been suspended. Reactivate now at secure-login.net.,,no,no,delivery,promotion,yes,high,malware,Y0ur pr0f1l3 h@s b33n susp3nd3d. R3@ct1v@t3 n0w @t s3cur3-s1gn 1n.n3t.
s00025,spam,Exclusive deals on supplements! Order now at health-max.com,health-max.com,no,no,retail,reminder,no,high,no,F3dEx h3@lth 1nsur@nc3 f@1l3d. C0nf1rm y0ur d3t@1ls: f3d3x-c0nf1rm.c0m
s00038,spam,Congratulations! You’ve been selected for a luxury cruise. Confirm at luxship.com,luxship.com,no,no,delivery,data theft,no,low,no,Y0ur t@x 0ff1c3 pr0f1l3 @cc3ss 1s l1m1t3d. V1s1t t@x 0ff1c3-v3r1f1c@t10n-n0w.c0m
h00038,ham,I'll be late. Stuck in traffic.,,no,no,bank,reminder,no,none,no,
s00028,smishing,Unusual activity in your PayPal account. Login immediately at secure-paypal-check.com,secure-paypal-check.com,no,-2382,retail,account takeover,yes,low,adware,Unusu@l @ct1v1ty 1n y0ur P@yP@l pr0f1l3. S1gn 1n 1mm3d1@t3ly @t s3cur3-p@yp@l-ch3ck.c0m
s00038,smishing,Your bank account access is limited. Visit bank-verification-now.com,bank-verification-now.com,no,no,delivery,account takeover,yes,medium,adware,Y0ur t@x 0ff1c3 pr0f1l3 @cc3ss 1s l1m1t3d. V1s1t t@x 0ff1c3-v3r1f1c@t10n-n0w.c0m
h00026,ham,I'll be late. Stuck in traffic.,,no,no,bank,phishing,no,none,no,
s00032,smishing,Your account has been suspended. Reactivate now at secure-login.net.,,no,-2386,retail,notification,yes,low,adware,Y0ur pr0f1l3 h@s b33n susp3nd3d. R3@ct1v@t3 n0w @t s3cur3-s1gn 1n.n3t.
s00025,smishing,FedEx delivery failed. Confirm your details: fedex-confirm.com,fedex-confirm.com,no,no,utility,promotion,yes,medium,malware,F3dEx h3@lth 1nsur@nc3 f@1l3d. C0nf1rm y0ur d3t@1ls: f3d3x-c0nf1rm.c0m
s00028,spam,Hot singles near you are waiting! Check out now: flirtyzone.com,flirtyzone.com,no,-2382,subscription,account takeover,no,low,no,Unusu@l @ct1v1ty 1n y0ur P@yP@l pr0f1l3. S1gn 1n 1mm3d1@t3ly @t s3cur3-p@yp@l-ch3ck.c0m
s00020,smishing,Unusual activity in your PayPal account. Login immediately at secure-paypal-check.com,secure-paypal-check.com,no,-2374,retail,support,yes,high,adware,Unusu@l @ct1v1ty 1n y0ur P@yP@l pr0f1l3. S1gn 1n 1mm3d1@t3ly @t s3cur3-p@yp@l-ch3ck.c0m
s00021,spam,Congratulations! You’ve been selected for a luxury cruise. Confirm at luxship.com,luxship.com,no,no,government,reminder,no,medium,no,Unusu@l @ct1v1ty 1n y0ur P@yP@l pr0f1l3. S1gn 1n 1mm3d1@t3ly @t s3cur3-p@yp@l-ch3ck.c0m
s00023,smishing,Your bank account access is limited. Visit bank-verification-now.com,bank-verification-now.com,no,no,government,notification,yes,medium,malware,Y0ur t@x 0ff1c3 pr0f1l3 @cc3ss 1s l1m1t3d. V1s1t t@x 0ff1c3-v3r1f1c@t10n-n0w.c0m
s00029,spam,Buy followers and likes at cheap rates! Click here: socialboost-now.net,,no,no,retail,account takeover,no,high,no,Y0ur t@x 0ff1c3 pr0f1l3 @cc3ss 1s l1m1t3d. V1s1t t@x 0ff1c3-v3r1f1c@t10n-n0w.c0m
h00033,ham,"Hey, can you pick up some milk on your way home?",,user33@example.com,no,subscription,support,no,none,no,
s00039,smishing,Unusual activity in your PayPal account. Login immediately at secure-paypal-check.com,secure-paypal-check.com,no,no,utility,data theft,yes,high,malware,Unusu@l @ct1v1ty 1n y0ur P@yP@l pr0f1l3. S1gn 1n 1mm3d1@t3ly @t s3cur3-p@yp@l-ch3ck.c0m
s00026,spam,Get rich quick with our new crypto scheme! Visit crypto-gainz.com,crypto-gainz.com,no,no,bank,data theft,no,medium,no,Unusu@l @ct1v1ty 1n y0ur P@yP@l pr0f1l3. S1gn 1n 1mm3d1@t3ly @t s3cur3-p@yp@l-ch3ck.c0m
h00032,ham,Lunch at the usual place today?,,no,-2386,utility,promotion,no,none,no,
s00035,spam,Buy followers and likes at cheap rates! Click here: socialboost-now.net,,no,no,bank,account takeover,no,low,no,F3dEx h3@lth 1nsur@nc3 f@1l3d. C0nf1rm y0ur d3t@1ls: f3d3x-c0nf1rm.c0m
h00020,ham,The report is due by Friday. Please ensure all updates are done.,,no,-2374,retail,account takeover,no,none,no,
s00029,smishing,Your bank account access is limited. Visit bank-verification-now.com,bank-verification-now.com,no,no,retail,promotion,yes,high,malware,Y0ur t@x 0ff1c3 pr0f1l3 @cc3ss 1s l1m1t3d. V1s1t t@x 0ff1c3-v3r1f1c@t10n-n0w.c0m
s00037,smishing,Unusual activity in your PayPal account. Login immediately at secure-paypal-check.com,secure-paypal-check.com,no,no,government,promotion,yes,medium,phishing,Unusu@l @ct1v1ty 1n y0ur P@yP@l pr0f1l3. S1gn 1n 1mm3d1@t3ly @t s3cur3-p@yp@l-ch3ck.c0m
s00027,smishing,You've won a $1000 gift card! Claim here: prize-now.com,prize-now.com,no,no,bank,promotion,yes,high,malware,Y0u'v3 w0n @ $1000 g1ft c@rd! Cl@1m h3r3: pr1z3-n0w.c0m
h00023,ham,The report is due by Friday. Please ensure all updates are done.,,no,no,utility,phishing,no,none,no,
s00022,smishing,Your bank account access is limited. Visit bank-verification-now.com,bank-verification-now.com,no,no,retail,support,yes,low,adware,Y0ur t@x 0ff1c3 pr0f1l3 @cc3ss 1s l1m1t3d. V1s1t t@x 0ff1c3-v3r1f1c@t10n-n0w.c0m
s00033,spam,Buy followers and likes at cheap rates! Click here: socialboost-now.net,,no,no,delivery,account takeover,no,medium,no,Y0ur pr0f1l3 h@s b33n susp3nd3d. R3@ct1v@t3 n0w @t s3cur3-s1gn 1n.n3t.
s00021,smishing,Unusual activity in your PayPal account. Login immediately at secure-paypal-check.com,secure-paypal-check.com,no,no,subscription,support,yes,medium,malware,Unusu@l @ct1v1ty 1n y0ur P@yP@l pr0f1l3. S1gn 1n 1mm3d1@t3ly @t s3cur3-p@yp@l-ch3ck.c0m
s00035,smishing,FedEx delivery failed. Confirm your details: fedex-confirm.com,fedex-confirm.com,no,no,delivery,support,yes,low,malware,F3dEx h3@lth 1nsur@nc3 f@1l3d. C0nf1rm y0ur d3t@1ls: f3d3x-c0nf1rm.c0m
s00036,spam,Buy followers and likes at cheap rates! Click here: socialboost-now.net,,no,-2390,delivery,reminder,no,high,no,Unusu@l @ct1v1ty 1n y0ur P@yP@l pr0f1l3. S1gn 1n 1mm3d1@t3ly @t s3cur3-p@yp@l-ch3ck.c0m
h00028,ham,The report is due by Friday. Please ensure all updates are done.,,no,-2382,retail,promotion,no,none,no,
s00023,spam,Congratulations! You’ve been selected for a luxury cruise. Confirm at luxship.com,luxship.com,no,no,bank,account takeover,no,medium,no,Y0ur t@x 0ff1c3 pr0f1l3 @cc3ss 1s l1m1t3d. V1s1t t@x 0ff1c3-v3r1f1c@t10n-n0w.c0m
h00021,ham,Don't forget our meeting at 3 PM.,,user21@example.com,no,retail,data theft,no,none,no,
s00030,smishing,Your bank account access is limited. Visit bank-verification-now.com,bank-verification-now.com,no,no,government,data theft,yes,low,malware,Y0ur t@x 0ff1c3 pr0f1l3 @cc3ss 1s l1m1t3d. V1s1t t@x 0ff1c3-v3r1f1c@t10n-n0w.c0m
s00024,smishing,Your bank account access is limited. Visit bank-verification-now.com,bank-verification-now.com,no,-2378,subscription,reminder,yes,high,malware,Y0ur t@x 0ff1c3 pr0f1l3 @cc3ss 1s l1m1t3d. V1s1t t@x 0ff1c3-v3r1f1c@t10n-n0w.c0m
h00024,ham,I'll be late. Stuck in traffic.,,user24@example.com,-2378,government,data theft,no,none,no,
s00032,spam,Get rich quick with our new crypto scheme! Visit crypto-gainz.com,crypto-gainz.com,no,-2386,subscription,account takeover,no,low,no,Y0ur pr0f1l3 h@s b33n susp3nd3d. R3@ct1v@t3 n0w @t s3cur3-s1gn 1n.n3t.
h00037,ham,I'll be late. Stuck in traffic.,,no,no,subscription,promotion,no,none,no,
h00039,ham,The report is due by Friday. Please ensure all updates are done.,,user39@example.com,no,bank,notification,no,none,no,
s00020,spam,Congratulations! You’ve been selected for a luxury cruise. Confirm at luxship.com,luxship.com,no,-2374,delivery,phishing,no,medium,no,Unusu@l @ct1v1ty 1n y0ur P@yP@l pr0f1l3. S1gn 1n 1mm3d1@t3ly @t s3cur3-p@yp@l-ch3ck.c0m
h00034,ham,I'll be late. Stuck in traffic.,,no,no,utility,account takeover,no,none,no,
h00036,ham,"Hey, can you pick up some milk on your way home?",,user36@example.com,-2390,delivery,reminder,no,none,no,
h00022,ham,The report is due by Friday. Please ensure all updates are done.,,no,no,subscription,notification,no,none,no,
s00022,spam,Buy followers and likes at cheap rates! Click here: socialboost-now.net,,no,no,bank,phishing,no,medium,no,Y0ur t@x 0ff1c3 pr0f1l3 @cc3ss 1s l1m1t3d. V1s1t t@x 0ff1c3-v3r1f1c@t10n-n0w.c0m
s00031,spam,Hot singles near you are waiting! Check out now: flirtyzone.com,flirtyzone.com,no,no,social,phishing,no,medium,no,Unusu@l @ct1v1ty 1n y0ur P@yP@l pr0f1l3. S1gn 1n 1mm3d1@t3ly @t s3cur3-p@yp@l-ch3ck.c0m
h00029,ham,I'll be late. Stuck in traffic.,,no,no,retail,support,no,none,no,
s00030,spam,Congratulations! You’ve been selected for a luxury cruise. Confirm at luxship.com,luxship.com,no,no,delivery,phishing,no,low,no,Y0ur t@x 0ff1c3 pr0f1l3 @cc3ss 1s l1m1t3d. V1s1t t@x 0ff1c3-v3r1f1c@t10n-n0w.c0m
s00039,spam,Congratulations! You’ve been selected for a luxury cruise. Confirm at luxship.com,luxship.com,no,no,utility,account takeover,no,low,no,Unusu@l @ct1v1ty 1n y0ur P@yP@l pr0f1l3. S1gn 1n 1mm3d1@t3ly @t s3cur3-p@yp@l-ch3ck.c0m
h00027,ham,The report is due by Friday. Please ensure all updates are done.,,user27@example.com,no,government,data theft,no,none,no,
s00026,smishing,Unusual activity in your PayPal account. Login immediately at secure-paypal-check.com,secure-paypal-check.com,no,no,retail,notification,yes,low,malware,Unusu@l @ct1v1ty 1n y0ur P@yP@l pr0f1l3. S1gn 1n 1mm3d1@t3ly @t s3cur3-p@yp@l-ch3ck.c0m
s00034,smishing,Unusual activity in your PayPal account. Login immediately at secure-paypal-check.com,secure-paypal-check.com,no,no,delivery,data theft,yes,low,phishing,Unusu@l @ct1v1ty 1n y0ur P@yP@l pr0f1l3. S1gn 1n 1mm3d1@t3ly @t s3cur3-p@yp@l-ch3ck.c0m
s00031,smishing,Unusual activity in your PayPal account. Login immediately at secure-paypal-check.com,secure-paypal-check.com,no,no,retail,phishing,yes,low,adware,Unusu@l @ct1v1ty 1n y0ur P@yP@l pr0f1l3. S1gn 1n 1mm3d1@t3ly @t s3cur3-p@yp@l-ch3ck.c0m
x00000,ham,See you at the meeting tomorrow.,,user0@example.com,no,subscription,data theft,no,none,no,
x00001,smishing,You've won a $1000 gift card! Claim here: prize-now.com,,user1@example.com,-2355,subscription,support,yes,low,adware,Y0u'v3 w0n @ $1000 g1ft c@rd! Cl@1m h3r3: pr1z3-n0w.c0m
x00002,ham,See you at the meeting tomorrow.,,user2@example.com,-2356,subscription,notification,no,none,no,
x00003,ham,See you at the meeting tomorrow.,,user3@example.com,-2357,retail,promotion,no,none,no,
x00004,smishing,You've won a $1000 gift card! Claim here: prize-now.com,,no,no,retail,support,yes,none,no,Y0u'v3 w0n @ $1000 g1ft c@rd! Cl@1m h3r3: pr1z3-n0w.c0m
x00005,smishing,You've won a $1000 gift card! Claim here: prize-now.com,,no,no,social,notification,yes,medium,adware,Y0u'v3 w0n @ $1000 g1ft c@rd! Cl@1m h3r3: pr1z3-n0w.c0m
x00006,smishing,You've won a $1000 gift card! Claim here: prize-now.com,prize-now.com,no,no,bank,notification,yes,high,malware,Y0u'v3 w0n @ $1000 g1ft c@rd! Cl@1m h3r3: pr1z3-n0w.c0m
x00007,smishing,You've won a $1000 gift card! Claim here: prize-now.com,prize-now.com,user7@example.com,no,bank,notification,yes,none,no,Y0u'v3 w0n @ $1000 g1ft c@rd! Cl@1m h3r3: pr1z3-n0w.c0m
x00008,ham,See you at the meeting tomorrow.,,user8@example.com,no,bank,support,no,none,no,
x00009,smishing,You've won a $1000 gift card! Claim here: prize-now.com,prize-now.com,user9@example.com,no,bank,support,yes,high,phishing,Y0u'v3 w0n @ $1000 g1ft c@rd! Cl@1m h3r3: pr1z3-n0w.c0m
x00010,smishing,You've won a $1000 gift card! Claim here: prize-now.com,,user10@example.com,-2364,bank,promotion,yes,low,phishing,Y0u'v3 w0n @ $1000 g1ft c@rd! Cl@1m h3r3: pr1z3-n0w.c0m
x00011,smishing,You've won a $1000 gift card! Claim here: prize-now.com,,no,no,social,data theft,yes,high,malware,Y0u'v3 w0n @ $1000 g1ft c@rd! Cl@1m h3r3: pr1z3-n0w.c0m
x00012,ham,See you at the meeting tomorrow.,,no,-2366,retail,promotion,no,none,no,
x00013,smishing,You've won a $1000 gift card! Claim here: prize-now.com,,no,no,retail,promotion,yes,medium,phishing,Y0u'v3 w0n @ $1000 g1ft c@rd! Cl@1m h3r3: pr1z3-n0w.c0m
x00014,smishing,You've won a $1000 gift card! Claim here: prize-now.com,prize-now.com,user14@example.com,-2368,retail,notification,yes,low,phishing,Y0u'v3 w0n @ $1000 g1ft c@rd! Cl@1m h3r3: pr1z3-n0w.c0m
x00015,ham,See you at the meeting tomorrow.,,user15@example.com,no,subscription,support,no,none,no,
x00016,ham,See you at the meeting tomorrow.,,user16@example.com,-2370,subscription,data theft,no,none,no,
x00017,ham,See you at the meeting tomorrow.,,no,-2371,retail,data theft,no,none,no,
x00018,smishing,You've won a $1000 gift card! Claim here: prize-now.com,,no,no,retail,notification,yes,medium,phishing,Y0u'v3 w0n @ $1000 g1ft c@rd! Cl@1m h3r3: pr1z3-n0w.c0m
x00019,smishing,You've won a $1000 gift card! Claim here: prize-now.com,prize-now.com,no,-2373,subscription,promotion,yes,none,no,Y0u'v3 w0n @ $1000 g1ft c@rd! Cl@1m h3r3: pr1z3-n0w.c0m
